# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       4.01
2                       7.85
4                      15.23
8                      30.36
16                     60.84
32                    122.45
64                    244.07
128                   455.54
256                   866.61
512                  1364.14
1024                 2627.98
2048                 4894.92
4096                 4364.02
8192                 8490.42
16384               14167.44
32768               21319.38
65536               25497.71
131072              27523.67
262144              28068.51
524288              27572.69
1048576             29462.63
2097152             28533.36
4194304             28239.72
