# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.43
2                       0.44
4                       0.43
8                       0.44
16                      0.44
32                      0.44
64                      0.43
128                     0.46
256                     0.46
512                     0.54
1024                    0.56
2048                    0.61
4096                    1.28
8192                    1.52
16384                   2.00
32768                   2.94
65536                   4.92
131072                  7.52
262144                 12.02
524288                 23.00
1048576                44.86
2097152                89.28
4194304               221.37
