# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.78
2                       7.41
4                      14.85
8                      28.77
16                     53.91
32                    106.31
64                    208.99
128                   410.71
256                   802.11
512                  1370.34
1024                 2638.04
2048                 4878.29
4096                 4558.01
8192                 8384.29
16384               13888.08
32768               20269.53
65536               21635.78
131072              26588.58
262144              25148.29
524288              29339.99
1048576             24738.21
2097152             25466.12
4194304             22909.59
