# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.83
2                       6.92
4                      13.58
8                      27.23
16                     55.15
32                    111.73
64                    223.73
128                   432.13
256                   861.27
512                  1327.21
1024                 2545.62
2048                 4683.44
4096                 4476.31
8192                 8492.15
16384               13925.18
32768               21049.30
65536               25819.44
131072              28153.38
262144              27024.64
524288              30065.33
1048576             27981.35
2097152             30909.77
4194304             29755.61
