# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.43
2                       0.44
4                       0.43
8                       0.44
16                      0.43
32                      0.45
64                      0.43
128                     0.45
256                     0.46
512                     0.53
1024                    0.55
2048                    0.62
4096                    1.27
8192                    1.51
16384                   2.02
32768                   2.82
65536                   5.02
131072                  7.62
262144                 12.04
524288                 23.09
1048576                44.87
2097152                91.29
4194304               228.15
