# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.66
2                       7.23
4                      14.23
8                      25.76
16                     50.65
32                    102.06
64                    205.33
128                   402.37
256                   789.10
512                  1393.02
1024                 2672.72
2048                 4906.67
4096                 4607.68
8192                 8154.05
16384               13539.00
32768               19985.52
65536               23325.08
131072              26516.01
262144              25080.67
524288              28335.30
1048576             28233.98
2097152             29107.27
4194304             27858.65
