# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.75
2                       7.48
4                      15.10
8                      30.26
16                     59.81
32                    110.20
64                    215.16
128                   420.74
256                   817.47
512                  1401.74
1024                 2702.71
2048                 4968.33
4096                 4582.94
8192                 8161.39
16384               13278.47
32768               19037.99
65536               22059.49
131072              25103.84
262144              21827.40
524288              26868.24
1048576             27139.49
2097152             27590.54
4194304             27762.26
