# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.97
2                       7.66
4                      14.97
8                      29.95
16                     60.02
32                    120.24
64                    240.57
128                   479.32
256                   926.82
512                  1435.70
1024                 2766.41
2048                 5029.38
4096                 3504.71
8192                 3544.13
16384                4172.72
32768               11054.33
65536               24097.74
131072              25869.86
262144              25718.36
524288              25360.66
1048576             27789.77
2097152             28742.15
4194304             27925.37
