# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.82        3822393.67
2                       7.62        3807536.41
4                      14.82        3705356.75
8                      29.69        3711708.58
16                     59.11        3694207.79
32                    117.44        3669852.71
64                    234.60        3665570.11
128                   465.51        3636808.53
256                   891.14        3481003.67
512                  1390.19        2715212.86
1024                 2709.52        2646014.52
2048                 5132.02        2505870.00
4096                 4875.83        1190389.35
8192                 8974.61        1095533.16
16384               15694.44         957912.58
32768               23139.29         706155.19
65536               28450.88         434126.01
131072              31536.90         240607.42
262144              33919.77         129393.64
524288              27294.49          52060.11
1048576             28947.65          27606.63
2097152             30790.44          14682.02
4194304             31225.44           7444.73
