# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.74
2                       7.44
4                      15.24
8                      30.21
16                     59.82
32                    117.67
64                    231.11
128                   452.76
256                   881.83
512                  1542.00
1024                 2785.59
2048                 5092.74
4096                 4711.85
8192                 8321.91
16384                6829.20
32768                4977.38
65536                7664.49
131072               8625.17
262144              18603.50
524288              19820.14
1048576             23149.76
2097152             24468.04
4194304             14846.22
