# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.76
2                       7.41
4                      14.76
8                      29.43
16                     58.72
32                    115.59
64                    227.32
128                   450.33
256                   892.21
512                  1469.70
1024                 2727.37
2048                 5050.13
4096                 3601.98
8192                 8473.54
16384               14095.03
32768               20322.55
65536               23745.67
131072              26634.30
262144              25149.92
524288              28880.11
1048576             28029.19
2097152             28003.38
4194304             28515.48
