# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.79        3793896.57
2                       7.39        3697015.27
4                      14.38        3594321.51
8                      28.79        3598209.13
16                     57.62        3601444.97
32                    115.63        3613319.69
64                    230.40        3600076.70
128                   460.16        3594984.14
256                   875.08        3418279.36
512                  1400.62        2735585.53
1024                 2710.55        2647017.85
2048                 5126.61        2503226.52
4096                 4941.36        1206387.90
8192                 8904.62        1086989.73
16384               15255.80         931140.39
32768               22365.49         682540.66
65536               27382.71         417826.94
131072              29792.54         227299.04
262144              27043.19         103161.58
524288              30748.93          58648.92
1048576             30620.49          29201.98
2097152             29646.96          14136.77
4194304             30568.65           7288.13
