# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.44        3438569.50
2                       6.36        3178129.86
4                      12.25        3063512.11
8                      24.55        3068781.22
16                     49.29        3080909.00
32                     98.10        3065539.31
64                    193.00        3015588.90
128                   378.70        2958581.39
256                   737.97        2882688.11
512                  1424.18        2781600.43
1024                 2709.34        2645839.06
2048                 4996.08        2439491.74
4096                 3394.53         828742.69
8192                 8425.26        1028474.69
16384               14278.64         871499.31
32768               20171.29         615578.79
65536               23632.78         360607.67
131072              25474.87         194357.85
262144              24753.03          94425.32
524288              25479.15          48597.62
1048576             28629.79          27303.50
2097152             29063.29          13858.46
4194304             27778.10           6622.82
