# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.81        3812640.87
2                       7.47        3734363.74
4                      14.55        3636419.63
8                      29.28        3659699.21
16                     58.51        3656688.80
32                    117.08        3658594.80
64                    234.66        3666619.92
128                   466.17        3641957.14
256                   904.84        3534522.20
512                  1444.79        2821860.41
1024                 2806.75        2740970.96
2048                 5211.73        2544790.70
4096                 5046.56        1232070.01
8192                 9312.38        1136764.75
16384               15753.09         961492.57
32768               23523.32         717874.73
65536               29257.79         446438.50
131072              31619.58         241238.26
262144              33149.87         126456.72
524288              30724.89          58603.08
1048576             31909.93          30431.68
2097152             32634.41          15561.30
4194304             32989.24           7865.25
