# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.50
2                       0.50
4                       0.66
8                       0.51
16                      0.54
32                      0.52
64                      0.51
128                     0.72
256                     0.54
512                     0.60
1024                    0.60
2048                    0.66
4096                    1.52
8192                    1.55
16384                   2.18
32768                   2.94
65536                   4.47
131072                  7.73
262144                 12.09
524288                 23.35
1048576                44.66
2097152                88.76
4194304               206.71
