# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.50
2                       0.50
4                       0.50
8                       0.50
16                      0.51
32                      0.50
64                      0.50
128                     0.51
256                     0.53
512                     0.59
1024                    0.60
2048                    0.66
4096                    1.31
8192                    1.51
16384                   1.93
32768                   2.75
65536                   4.67
131072                  8.82
262144                 10.49
524288                 19.92
1048576                38.26
2097152                76.24
4194304               241.91
