# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.78
2                       6.43
4                      12.12
8                      24.63
16                     50.11
32                    101.16
64                    203.10
128                   407.63
256                   778.75
512                  1212.80
1024                 2353.23
2048                 4436.82
4096                 4237.40
8192                 7864.96
16384               13170.54
32768               19649.54
65536               24397.07
131072              26416.76
262144              27975.64
524288              27166.87
1048576             29272.80
2097152             28678.62
4194304             28759.83
