# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.42        3424086.43
2                       6.78        3390157.49
4                      13.56        3389491.92
8                      27.17        3396821.34
16                     53.60        3349796.19
32                    104.87        3277201.19
64                    197.09        3079569.73
128                   381.88        2983401.89
256                   758.46        2962720.60
512                  1423.94        2781133.12
1024                 2732.55        2668510.38
2048                 4981.64        2432442.80
4096                 4735.55        1156141.31
8192                 8365.18        1021140.02
16384               14028.02         856202.55
32768               20291.95         619261.27
65536               23720.45         361945.29
131072              21340.65         162816.23
262144              13342.11          50896.10
524288              12180.27          23232.03
1048576             11928.11          11375.53
2097152             11606.30           5534.31
4194304             11037.60           2631.57
