# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.50
2                       0.50
4                       0.50
8                       0.51
16                      0.51
32                      0.51
64                      0.54
128                     0.52
256                     0.54
512                     0.61
1024                    0.61
2048                    0.66
4096                    1.34
8192                    1.54
16384                   1.96
32768                   2.75
65536                   4.11
131072                 10.69
262144                 11.59
524288                 21.57
1048576                42.39
2097152                83.59
4194304               191.87
