# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.72
2                       7.37
4                      14.62
8                      29.35
16                     54.11
32                    105.33
64                    207.81
128                   408.57
256                   799.68
512                  1399.51
1024                 2754.82
2048                 5019.76
4096                 3405.50
8192                 6904.69
16384               14014.08
32768               20423.05
65536               23528.70
131072              26568.14
262144              24334.24
524288              27544.37
1048576             26441.96
2097152             28970.61
4194304             28531.43
