# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.23        4225301.25
2                       8.59        4293295.40
4                      17.16        4288963.85
8                      34.34        4292798.36
16                     68.62        4288987.41
32                    136.58        4268129.50
64                    273.01        4265846.20
128                   510.70        3989851.31
256                   995.40        3888280.94
512                  1844.74        3603015.48
1024                 3741.57        3653874.00
2048                 6635.75        3240111.77
4096                 5764.82        1407427.38
8192                 9748.98        1190061.31
16384               16029.51         978363.70
32768               23157.66         706715.74
65536               27098.04         413483.28
131072              29348.73         223913.00
262144              30616.63         116793.17
524288              31285.84          59673.01
1048576             32399.21          30898.30
2097152             31904.53          15213.27
4194304             31857.29           7595.37
