# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.83
2                      17.69
4                      33.71
8                      69.39
16                    138.33
32                    275.91
64                    553.54
128                  1018.86
256                  1830.62
512                  2960.00
1024                 5549.69
2048                 9056.99
4096                 8326.27
8192                13483.44
16384               22060.05
32768               28392.34
65536               31958.41
131072              33416.07
262144              34228.36
524288              34815.51
1048576             35306.79
2097152             35743.37
4194304             35205.89
