# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.00
2                       9.94
4                      20.16
8                      40.29
16                     80.69
32                    161.01
64                    316.88
128                   623.04
256                  1242.92
512                  1999.69
1024                 3953.25
2048                 6978.38
4096                 5848.39
8192                 9397.44
16384               15853.05
32768               22945.77
65536               26971.18
131072              29318.68
262144              30578.66
524288              31227.89
1048576             31572.11
2097152             31749.46
4194304             31691.91
