# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.32
2                       0.30
4                       0.30
8                       0.31
16                      0.29
32                      0.30
64                      0.31
128                     0.36
256                     0.35
512                     0.38
1024                    0.39
2048                    0.48
4096                    1.04
8192                    1.33
16384                   1.88
32768                   2.92
65536                   4.41
131072                  7.36
262144                 14.37
524288                 27.96
1048576                55.17
2097152               116.05
4194304               257.42
