# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.85
2                      17.74
4                      33.74
8                      69.67
16                    138.27
32                    274.12
64                    547.67
128                  1014.85
256                  1847.80
512                  2996.28
1024                 5564.44
2048                 9030.61
4096                 8399.69
8192                13390.47
16384               22015.14
32768               28460.80
65536               31959.86
131072              33440.78
262144              34365.30
524288              34910.26
1048576             35280.68
2097152             35388.35
4194304             35223.01
