# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.30
4                       0.31
8                       0.31
16                      0.30
32                      0.32
64                      0.35
128                     0.36
256                     0.33
512                     0.38
1024                    0.41
2048                    0.48
4096                    1.07
8192                    1.31
16384                   1.85
32768                   2.92
65536                   4.39
131072                  7.27
262144                 14.18
524288                 28.05
1048576                55.28
2097152               114.90
4194304               256.48
