# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       4.96
2                       9.93
4                      20.25
8                      40.52
16                     80.94
32                    160.57
64                    317.02
128                   623.00
256                  1239.64
512                  2008.95
1024                 3962.15
2048                 6978.42
4096                 5948.37
8192                 9883.80
16384               16453.21
32768               22959.78
65536               27061.92
131072              29455.38
262144              30564.15
524288              32311.42
1048576             33237.55
2097152             32248.63
4194304             31670.92
