# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.28        4282240.03
2                       8.60        4300997.23
4                      17.19        4296918.69
8                      34.39        4299248.67
16                     68.42        4276052.32
32                    135.59        4237037.91
64                    267.88        4185570.13
128                   506.25        3955086.04
256                   985.47        3849487.22
512                  1860.92        3634613.45
1024                 3744.96        3657184.44
2048                 6647.12        3245664.55
4096                 5733.06        1399673.12
8192                 9866.26        1204377.57
16384               16131.09         984563.76
32768               23143.82         706293.30
65536               27023.65         412348.14
131072              29284.43         223422.45
262144              30698.22         117104.43
524288              31276.50          59655.19
1048576             31683.74          30215.97
2097152             31887.73          15205.26
4194304             31844.62           7592.35
