# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.01
2                      10.04
4                      20.24
8                      40.20
16                     80.56
32                    159.78
64                    317.70
128                   625.00
256                  1250.30
512                  2007.58
1024                 3940.51
2048                 6744.11
4096                 6039.25
8192                10259.61
16384               16541.44
32768               23240.39
65536               26993.18
131072              29302.84
262144              30624.38
524288              31268.51
1048576             31584.27
2097152             31794.09
4194304             31751.60
