# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.31
4                       0.32
8                       0.29
16                      0.30
32                      0.35
64                      0.31
128                     0.34
256                     0.32
512                     0.39
1024                    0.41
2048                    0.46
4096                    1.08
8192                    1.31
16384                   1.87
32768                   2.99
65536                   4.45
131072                  7.15
262144                 14.14
524288                 27.93
1048576                55.27
2097152               115.17
4194304               257.22
