# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.27
2                       0.27
4                       0.28
8                       0.29
16                      0.28
32                      0.27
64                      0.28
128                     0.28
256                     0.32
512                     0.31
1024                    0.34
2048                    0.39
4096                    0.77
8192                    1.11
16384                   1.62
32768                   2.68
65536                   4.04
131072                  6.65
262144                 12.73
524288                 25.39
1048576                49.65
2097152               103.29
4194304               252.49
