# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.91
2                      17.68
4                      33.92
8                      69.06
16                    138.09
32                    270.88
64                    549.34
128                  1008.09
256                  1855.08
512                  2992.31
1024                 5610.98
2048                 9076.74
4096                 8321.87
8192                13610.73
16384               22347.66
32768               28523.35
65536               31967.95
131072              33377.59
262144              34329.19
524288              34897.71
1048576             35246.43
2097152             35318.96
4194304             35282.55
