# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       7.54        7544216.18
2                      14.82        7409386.67
4                      31.48        7871198.66
8                      60.63        7578658.78
16                    120.89        7555348.83
32                    234.55        7329574.79
64                    464.00        7250010.85
128                   916.79        7162417.90
256                  1724.15        6734969.78
512                  3012.18        5883169.45
1024                 5682.29        5549107.61
2048                 9114.23        4450305.56
4096                 8311.80        2029247.03
8192                13558.78        1655124.93
16384               22112.39        1349633.11
32768               28285.95         863218.58
65536               31832.29         485722.13
131072              33360.37         254519.42
262144              34322.88         130931.39
524288              34851.94          66474.81
1048576             36084.14          34412.52
2097152             35413.98          16886.70
4194304             35290.30           8413.86
