# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.27        4270393.58
2                       8.60        4298590.58
4                      17.23        4308647.25
8                      34.30        4287041.83
16                     68.39        4274232.63
32                    136.97        4280421.66
64                    269.79        4215459.51
128                   507.24        3962806.34
256                   996.84        3893907.33
512                  1865.17        3642910.94
1024                 3723.94        3636660.77
2048                 6636.13        3240300.10
4096                 5784.20        1412157.65
8192                 9909.89        1209703.09
16384               16316.78         995897.09
32768               23161.86         706843.73
65536               27088.85         413343.05
131072              29371.08         224083.58
262144              30601.95         116737.17
524288              31224.20          59555.44
1048576             33585.66          32029.79
2097152             31864.00          15193.94
4194304             31796.13           7580.79
