# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.28
4                       0.29
8                       0.28
16                      0.29
32                      0.27
64                      0.27
128                     0.28
256                     0.31
512                     0.31
1024                    0.32
2048                    0.41
4096                    0.80
8192                    1.10
16384                   1.68
32768                   2.74
65536                   4.16
131072                  6.67
262144                 12.78
524288                 25.44
1048576                49.67
2097152               104.46
4194304               249.82
