# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.28
4                       0.29
8                       0.28
16                      0.28
32                      0.30
64                      0.28
128                     0.28
256                     0.30
512                     0.32
1024                    0.32
2048                    0.40
4096                    0.78
8192                    1.10
16384                   1.67
32768                   2.75
65536                   4.16
131072                  6.70
262144                 12.83
524288                 25.55
1048576                50.08
2097152               105.84
4194304               247.88
