# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.30
4                       0.32
8                       0.31
16                      0.29
32                      0.31
64                      0.30
128                     0.33
256                     0.34
512                     0.39
1024                    0.40
2048                    0.47
4096                    1.04
8192                    1.34
16384                   1.87
32768                   2.91
65536                   4.42
131072                  7.57
262144                 14.19
524288                 27.98
1048576                55.42
2097152               115.47
4194304               257.33
