# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.22        4224213.88
2                       8.51        4254872.16
4                      17.11        4278044.84
8                      34.47        4309178.15
16                     68.29        4268107.86
32                    135.91        4247239.51
64                    268.71        4198635.61
128                   507.31        3963345.49
256                   990.29        3868307.81
512                  1838.67        3591144.19
1024                 3699.52        3612810.98
2048                 6669.25        3256471.78
4096                 5802.22        1416557.35
8192                 9983.58        1218698.21
16384               16336.22         997083.61
32768               23231.06         708955.57
65536               27098.06         413483.54
131072              29386.71         224202.81
262144              30702.30         117119.98
524288              32087.05          61201.20
1048576             31838.77          30363.81
2097152             31972.60          15245.73
4194304             31950.83           7617.67
