# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       4.97
2                       9.99
4                      20.28
8                      40.33
16                     80.78
32                    160.33
64                    317.06
128                   624.56
256                  1239.20
512                  1994.52
1024                 3949.67
2048                 6933.48
4096                 5980.14
8192                10144.19
16384               16621.26
32768               22955.68
65536               27075.62
131072              29466.72
262144              30674.89
524288              31373.63
1048576             31643.95
2097152             31861.74
4194304             31782.17
