# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.80
2                      17.76
4                      33.51
8                      69.67
16                    138.67
32                    275.46
64                    551.08
128                  1027.61
256                  1863.76
512                  3047.02
1024                 5464.46
2048                 9318.15
4096                 8474.67
8192                13407.84
16384               21933.54
32768               28395.92
65536               31969.17
131072              33371.12
262144              34190.80
524288              34916.91
1048576             35270.85
2097152             35370.36
4194304             35203.81
