# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.30
2                       0.29
4                       0.31
8                       0.31
16                      0.30
32                      0.31
64                      0.32
128                     0.35
256                     0.33
512                     0.38
1024                    0.42
2048                    0.48
4096                    1.07
8192                    1.33
16384                   1.85
32768                   2.91
65536                   4.43
131072                  7.56
262144                 14.30
524288                 28.03
1048576                55.06
2097152               114.91
4194304               260.11
