# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.30
4                       0.31
8                       0.31
16                      0.29
32                      0.30
64                      0.31
128                     0.32
256                     0.35
512                     0.38
1024                    0.42
2048                    0.47
4096                    1.06
8192                    1.32
16384                   1.86
32768                   2.92
65536                   4.39
131072                  7.38
262144                 14.12
524288                 27.83
1048576                55.13
2097152               115.26
4194304               257.03
