# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.85
2                      17.76
4                      33.86
8                      70.02
16                    138.71
32                    274.85
64                    548.85
128                  1004.61
256                  1853.71
512                  2990.75
1024                 5557.36
2048                 9057.95
4096                 8329.58
8192                13352.37
16384               22058.11
32768               28447.41
65536               32039.95
131072              33426.90
262144              35006.64
524288              36435.84
1048576             36676.12
2097152             37022.34
4194304             35294.39
