# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.31
4                       0.31
8                       0.30
16                      0.29
32                      0.32
64                      0.32
128                     0.32
256                     0.34
512                     0.40
1024                    0.41
2048                    0.48
4096                    1.06
8192                    1.34
16384                   1.86
32768                   2.91
65536                   4.40
131072                  7.34
262144                 14.26
524288                 28.00
1048576                55.21
2097152               115.79
4194304               259.19
