# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.28
4                       0.29
8                       0.27
16                      0.29
32                      0.28
64                      0.27
128                     0.28
256                     0.31
512                     0.31
1024                    0.34
2048                    0.39
4096                    0.82
8192                    1.09
16384                   1.61
32768                   2.67
65536                   4.06
131072                  6.65
262144                 12.83
524288                 25.45
1048576                49.61
2097152               103.33
4194304               251.08
