# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       4.97
2                       9.96
4                      20.14
8                      40.39
16                     80.77
32                    161.00
64                    316.93
128                   626.97
256                  1233.30
512                  2002.74
1024                 3940.35
2048                 6956.63
4096                 5997.76
8192                10093.45
16384               16487.31
32768               22974.50
65536               27042.40
131072              29465.71
262144              30694.45
524288              31348.92
1048576             31682.51
2097152             31855.11
4194304             31788.60
