# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.27
2                       0.28
4                       0.27
8                       0.28
16                      0.28
32                      0.28
64                      0.27
128                     0.30
256                     0.30
512                     0.32
1024                    0.32
2048                    0.41
4096                    0.79
8192                    1.10
16384                   1.69
32768                   2.74
65536                   4.16
131072                  6.67
262144                 12.68
524288                 25.29
1048576                49.66
2097152               104.66
4194304               249.97
