# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.31
2                       0.32
4                       0.30
8                       0.29
16                      0.30
32                      0.30
64                      0.32
128                     0.30
256                     0.32
512                     0.39
1024                    0.41
2048                    0.48
4096                    1.05
8192                    1.31
16384                   1.89
32768                   2.99
65536                   4.56
131072                  7.42
262144                 14.14
524288                 27.85
1048576                55.19
2097152               115.38
4194304               259.67
