# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       4.99
2                      10.06
4                      20.25
8                      40.34
16                     80.90
32                    160.71
64                    316.83
128                   626.81
256                  1254.55
512                  2013.61
1024                 3926.15
2048                 6783.53
4096                 5921.60
8192                 9961.37
16384               16532.38
32768               22969.60
65536               27073.21
131072              29415.95
262144              30701.79
524288              31341.09
1048576             31638.48
2097152             31814.95
4194304             31748.60
