# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.32
4                       0.31
8                       0.29
16                      0.29
32                      0.32
64                      0.32
128                     0.33
256                     0.34
512                     0.40
1024                    0.42
2048                    0.47
4096                    1.06
8192                    1.32
16384                   1.86
32768                   2.91
65536                   4.41
131072                  7.17
262144                 14.15
524288                 28.05
1048576                55.20
2097152               115.67
4194304               258.47
