# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       7.85        7849201.15
2                      16.02        8012468.40
4                      31.14        7785195.74
8                      62.42        7802154.91
16                    126.89        7930356.60
32                    250.79        7837045.30
64                    492.40        7693746.57
128                   984.60        7692215.24
256                  1725.57        6740505.39
512                  3053.60        5964056.68
1024                 5758.79        5623819.55
2048                 9491.51        4634525.65
4096                 8406.36        2052334.00
8192                13534.16        1652119.28
16384               22500.61        1373328.43
32768               28243.68         861928.62
65536               31738.71         484294.21
131072              33379.23         254663.32
262144              34239.38         130612.86
524288              36203.44          69052.58
1048576             37119.99          35400.38
2097152             35441.89          16900.01
4194304             35253.22           8405.02
