# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       7.72        7723977.86
2                      15.29        7646344.16
4                      31.74        7936131.01
8                      61.95        7743428.28
16                    122.47        7654367.97
32                    240.94        7529293.95
64                    471.72        7370635.27
128                   909.54        7105757.32
256                  1746.05        6820488.58
512                  3053.37        5963612.64
1024                 5759.29        5624302.40
2048                 9159.76        4472540.38
4096                 8304.26        2027408.41
8192                13555.55        1654730.16
16384               22068.39        1346947.78
32768               28270.16         862736.70
65536               31878.51         486427.40
131072              33320.10         254212.17
262144              35127.08         133999.17
524288              36635.34          69876.37
1048576             37006.50          35292.15
2097152             37102.53          17691.86
4194304             35212.26           8395.26
