# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.31
4                       0.30
8                       0.30
16                      0.29
32                      0.31
64                      0.30
128                     0.34
256                     0.35
512                     0.39
1024                    0.41
2048                    0.47
4096                    1.08
8192                    1.33
16384                   1.86
32768                   2.92
65536                   4.42
131072                  7.51
262144                 14.34
524288                 28.06
1048576                55.40
2097152               116.27
4194304               257.26
