# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.28
4                       0.31
8                       0.28
16                      0.29
32                      0.28
64                      0.28
128                     0.28
256                     0.32
512                     0.32
1024                    0.33
2048                    0.39
4096                    0.81
8192                    1.10
16384                   1.67
32768                   2.71
65536                   4.17
131072                  6.76
262144                 12.96
524288                 25.46
1048576                49.71
2097152               103.19
4194304               247.96
