# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.30
4                       0.31
8                       0.32
16                      0.29
32                      0.31
64                      0.32
128                     0.36
256                     0.33
512                     0.37
1024                    0.41
2048                    0.47
4096                    1.06
8192                    1.31
16384                   1.88
32768                   2.99
65536                   4.55
131072                  7.45
262144                 14.04
524288                 27.84
1048576                55.05
2097152               115.41
4194304               258.09
