# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.90
2                      17.73
4                      33.85
8                      69.11
16                    139.22
32                    275.40
64                    552.50
128                  1031.57
256                  1863.25
512                  3041.51
1024                 5485.82
2048                 9362.46
4096                 8401.38
8192                13408.14
16384               21858.94
32768               28264.45
65536               31928.63
131072              33362.64
262144              34361.59
524288              34772.80
1048576             35265.10
2097152             35357.07
4194304             35497.17
