# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.02
2                      10.06
4                      20.20
8                      40.34
16                     80.10
32                    160.57
64                    316.46
128                   627.98
256                  1256.76
512                  1999.49
1024                 3967.80
2048                 7038.43
4096                 5943.66
8192                 9833.80
16384               16366.24
32768               23003.88
65536               27026.99
131072              29518.80
262144              30735.45
524288              31425.98
1048576             31711.17
2097152             31878.91
4194304             31792.65
