# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.86
2                      17.67
4                      33.80
8                      68.74
16                    137.17
32                    269.56
64                    547.42
128                  1026.80
256                  1861.03
512                  3046.40
1024                 5485.92
2048                 9308.58
4096                 8312.40
8192                13416.71
16384               22057.28
32768               28476.03
65536               31991.77
131072              33427.80
262144              34229.15
524288              35433.91
1048576             36692.21
2097152             37017.39
4194304             35127.20
