# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.24        4243108.93
2                       8.53        4263652.55
4                      16.92        4229880.80
8                      34.08        4259706.59
16                     68.70        4293860.83
32                    135.38        4230528.92
64                    267.28        4176242.66
128                   510.08        3985034.95
256                   990.13        3867676.63
512                  1872.32        3656882.07
1024                 3791.54        3702677.75
2048                 6684.99        3264154.51
4096                 5718.49        1396115.91
8192                 9525.30        1162756.83
16384               15961.01         974182.50
32768               23263.20         709936.63
65536               27108.81         413647.61
131072              29274.96         223350.19
262144              30518.67         116419.47
524288              32886.61          62726.24
1048576             33128.32          31593.63
2097152             31803.40          15165.04
4194304             31747.97           7569.31
