# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.27
2                       0.28
4                       0.27
8                       0.28
16                      0.27
32                      0.27
64                      0.29
128                     0.28
256                     0.30
512                     0.31
1024                    0.34
2048                    0.40
4096                    0.78
8192                    1.09
16384                   1.66
32768                   2.75
65536                   4.14
131072                  6.69
262144                 12.70
524288                 25.38
1048576                49.60
2097152               103.15
4194304               247.12
