# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.28
4                       0.28
8                       0.28
16                      0.29
32                      0.27
64                      0.27
128                     0.30
256                     0.31
512                     0.32
1024                    0.32
2048                    0.38
4096                    0.81
8192                    1.08
16384                   1.69
32768                   2.73
65536                   4.11
131072                  6.73
262144                 12.70
524288                 25.44
1048576                49.55
2097152               103.16
4194304               246.09
