# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.32
2                       0.31
4                       0.29
8                       0.31
16                      0.32
32                      0.30
64                      0.31
128                     0.32
256                     0.35
512                     0.39
1024                    0.41
2048                    0.47
4096                    1.04
8192                    1.34
16384                   1.87
32768                   2.92
65536                   4.39
131072                  7.51
262144                 14.34
524288                 28.08
1048576                55.39
2097152               115.85
4194304               261.04
