# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.28
4                       0.27
8                       0.29
16                      0.27
32                      0.28
64                      0.28
128                     0.27
256                     0.32
512                     0.32
1024                    0.32
2048                    0.39
4096                    0.81
8192                    1.09
16384                   1.67
32768                   2.73
65536                   4.16
131072                  6.73
262144                 12.79
524288                 25.50
1048576                49.74
2097152               103.35
4194304               243.66
