# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.27
2                       0.27
4                       0.28
8                       0.28
16                      0.28
32                      0.27
64                      0.27
128                     0.29
256                     0.30
512                     0.32
1024                    0.32
2048                    0.41
4096                    0.80
8192                    1.11
16384                   1.68
32768                   2.74
65536                   4.18
131072                  6.71
262144                 12.80
524288                 25.35
1048576                49.37
2097152               102.99
4194304               246.55
